,Unnamed: 0,filename,sentence,up_votes,down_votes,gender,score,duration[ms]
0,48025,common_voice_en_1470.mp3,Everyone seemed very excited.,281,26,male_masculine,255,3624
1,48027,common_voice_en_1472.mp3,The crowd swayed a little as I elbowed my way through.,236,81,male_masculine,155,4704
2,48026,common_voice_en_1471.mp3,He heard a muffled grating sound and saw the black mark jerk forward an inch or so.,214,73,male_masculine,141,6480
3,467230,common_voice_en_10968.mp3,"It was starlight, and I explained the Signs of the Zodiac to her.",90,3,male_masculine,87,6000
4,546618,common_voice_en_37838785.mp3,It was originally chartered as part of Lyman.,84,6,male_masculine,78,4068
5,587014,common_voice_en_3514.mp3,There were lights in the upper windows of the houses when the people went to bed.,80,2,male_masculine,78,6360
6,587011,common_voice_en_3511.mp3,My review of the sun: one star.,77,0,male_masculine,77,3792
7,467232,common_voice_en_10970.mp3,"If you start your emails with ""Greetings"" let me be the first to welcome you to Earth.",80,4,male_masculine,76,7128
8,467238,common_voice_en_10976.mp3,Some of the grey ash was falling off the circular edge.,78,2,male_masculine,76,5808
9,467241,common_voice_en_10980.mp3,"Some went away while I was there, and other people came.",75,3,male_masculine,72,5472
10,467235,common_voice_en_10973.mp3,It had a diameter of about thirty yards.,74,2,male_masculine,72,3216
11,467234,common_voice_en_10972.mp3,But they were not there.,78,6,male_masculine,72,2520
12,587013,common_voice_en_3513.mp3,"If you start your emails with ""Greetings"" let me be the first to welcome you to Earth.",77,5,male_masculine,72,5856
13,467237,common_voice_en_10975.mp3,All that time the Martians must have been getting ready.,76,4,male_masculine,72,4176
14,467243,common_voice_en_10982.mp3,The first rule of don't fight club is let's talk about it.,77,6,male_masculine,71,5760
15,467240,common_voice_en_10978.mp3,"They looked for the fallen mass, but found nothing.",68,3,male_masculine,65,4632
16,467239,common_voice_en_10977.mp3,"Coming home, a party of tourists passed us, singing and playing music.",71,7,male_masculine,64,6912
17,467231,common_voice_en_10969.mp3,I had seen all that it would presently bring me.,69,7,male_masculine,62,5208
18,587022,common_voice_en_3522.mp3,"Coming home, a party of tourists passed us, singing and playing music.",62,0,male_masculine,62,5064
19,467229,common_voice_en_10967.mp3,The top had certainly ceased to rotate.,75,17,male_masculine,58,3000
20,308932,common_voice_en_622.mp3,Every search begins with beginner's luck.,59,2,male_masculine,57,3984
21,587018,common_voice_en_3518.mp3,I have the diet of a kid who found twenty dollars.,56,0,male_masculine,56,3720
22,587019,common_voice_en_3519.mp3,The newspaper articles had prepared everyone for the reception of the idea.,56,1,male_masculine,55,5040
23,587016,common_voice_en_3516.mp3,"Looking through the telescope, I saw a circle of deep blue and the little round planet.",58,3,male_masculine,55,6072
24,587026,common_voice_en_3526.mp3,"Down below in the darkness were hundreds of people, sleeping in peace.",57,2,male_masculine,55,4704
25,587020,common_voice_en_3520.mp3,I found a little crowd of about twenty people surrounding the huge hole.,54,0,male_masculine,54,5088
26,587015,common_voice_en_3515.mp3,This morning I found a calculator taped to my Wii.,54,1,male_masculine,53,5496
27,587023,common_voice_en_3523.mp3,"About eleven, I walked back to my home in Maybury because nothing seemed to be happening.",55,2,male_masculine,53,6912
28,587024,common_voice_en_3524.mp3,"At that time, it was quite clear in my own mind that the thing had come from the planet Mars.",57,4,male_masculine,53,7680
29,308930,common_voice_en_620.mp3,It drew a droplet of blood.,56,4,male_masculine,52,2568
30,467248,common_voice_en_10987.mp3,Most meteorites are more or less rounded.,54,2,male_masculine,52,4248
31,467242,common_voice_en_10981.mp3,No doubt the impact had caused a flash of fire.,60,8,male_masculine,52,3912
32,467256,common_voice_en_10995.mp3,"I need you to be spontaneous. He asked me out to ""din din.""",55,4,male_masculine,51,5832
33,308931,common_voice_en_621.mp3,"The horse reared again, raising a cloud of dust.",55,4,male_masculine,51,3504
34,587017,common_voice_en_3517.mp3,The end of the cylinder was still as Ogilvy and Henderson had left it.,56,6,male_masculine,50,6264
35,308938,common_voice_en_630.mp3,And the names of the people involved were very difficult to pronounce.,49,0,male_masculine,49,4344
36,308935,common_voice_en_626.mp3,"To do that successfully, I must have no fear of failure.",51,2,male_masculine,49,3912
37,587029,common_voice_en_3529.mp3,"There were really, I think, two or three hundred people elbowing one another.",51,2,male_masculine,49,5952
38,308928,common_voice_en_617.mp3,"Because my eyes are not yet accustomed to the desert, the boy said.",52,3,male_masculine,49,4488
39,308937,common_voice_en_629.mp3,He got up early with the idea of finding it.,50,2,male_masculine,48,3456
40,467249,common_voice_en_10988.mp3,"You should see the other guy, specifically, how good at fighting he is.",51,3,male_masculine,48,5208
41,454573,common_voice_en_38318419.mp3,They regulated their calendar primarily by observation of the moon.,48,0,male_masculine,48,6408
42,378297,common_voice_en_1131.mp3,He got up early with the idea of finding it.,48,1,male_masculine,47,3024
43,332634,common_voice_en_43183.mp3,He got up early with the idea of finding it.,48,1,male_masculine,47,2544
44,378287,common_voice_en_1121.mp3,"You must always know what it is that you want, the old king had said.",47,1,male_masculine,46,6024
45,308926,common_voice_en_615.mp3,I sold crystal and crossed the desert.,48,2,male_masculine,46,2472
46,308925,common_voice_en_614.mp3,He remembered something his grandfather had once told him: that butterflies were a good omen.,47,1,male_masculine,46,6144
47,378294,common_voice_en_1128.mp3,He was shaken into wakefulness by someone.,46,1,male_masculine,45,3768
48,587027,common_voice_en_3527.mp3,"As soon as he saw me among the crowd, he called to me to come down.",47,2,male_masculine,45,5376
49,332632,common_voice_en_43181.mp3,Everyone seemed very excited.,46,1,male_masculine,45,2856
50,1093912,common_voice_en_38743229.mp3,"Almalki's case was taken up by many organizations in Canada, including Amnesty International.",45,0,male_masculine,45,7524
51,1093745,common_voice_en_38739453.mp3,There have also been numerous unlicensed copies.,50,5,male_masculine,45,5004
52,467253,common_voice_en_10992.mp3,The only shadow was that of the few scattered pine trees.,49,4,male_masculine,45,4824
53,467246,common_voice_en_10985.mp3,They set off running wildly into the trees.,47,3,male_masculine,44,4032
54,587025,common_voice_en_3525.mp3,But I found it difficult to get to work because of the investigations.,47,3,male_masculine,44,4512
55,467254,common_voice_en_10993.mp3,He just got a new kite for his birthday.,50,6,male_masculine,44,3576
56,467245,common_voice_en_10984.mp3,It left a greenish streak that glowed for some seconds.,46,3,male_masculine,43,5040
57,587028,common_voice_en_3528.mp3,Ogilvy told him everything that he had seen.,46,3,male_masculine,43,3816
58,378289,common_voice_en_1123.mp3,He was more certain of it than of anything in the world.,43,0,male_masculine,43,4488
59,263376,common_voice_en_811.mp3,He has other things to do first.,45,2,male_masculine,43,3048
60,279693,common_voice_en_1507.mp3,I SHALL MAKE US SOME ICE CUBES.,42,0,male_masculine,42,2640
61,378290,common_voice_en_1124.mp3,He was alarmed by what had happened.,43,1,male_masculine,42,3144
